ticket_id,channel,customer_message,sentiment_label,word_count,urgent_flag,text_length,cleaned_text
TKT00001,chat,I need information about the payment process. My ticket number is 78732. Please respond as soon as possible.,neutral,18,1,18,i need information about the payment process my ticket number is  please respond as soon as possible
TKT00002,phone,I need information about the payment process.,neutral,7,0,7,i need information about the payment process
TKT00003,email,The refund process was fast and convenient. I appreciate the quick response.,positive,12,0,12,the refund process was fast and convenient i appreciate the quick response
TKT00004,social,My refund is still pending and this experience is frustrating. My ticket number is 33927.,negative,15,1,15,my refund is still pending and this experience is frustrating my ticket number is 
TKT00005,chat,Please tell me how to update my account details.,neutral,9,0,9,please tell me how to update my account details
TKT00006,social,I need help finding the invoice for my last order. Please respond as soon as possible.,neutral,16,1,16,i need help finding the invoice for my last order please respond as soon as possible
TKT00007,chat,I am satisfied with the plan and would recommend it to others. My ticket number is 99198.,positive,17,0,17,i am satisfied with the plan and would recommend it to others my ticket number is 
TKT00008,chat,I want to understand the warranty terms for this product.,neutral,10,0,10,i want to understand the warranty terms for this product
TKT00009,phone,I need help finding the invoice for my last order.,neutral,10,0,10,i need help finding the invoice for my last order
TKT00010,phone,My refund is still pending and this experience is frustrating.,negative,10,0,10,my refund is still pending and this experience is frustrating
TKT00011,phone,Great service and clear communication from the support team.,positive,9,0,9,great service and clear communication from the support team
TKT00012,social,I like the new video call and it is easy to use. I appreciate the quick response.,positive,17,0,17,i like the new video call and it is easy to use i appreciate the quick response
TKT00013,social,Your support team resolved my issue quickly. Thank you. I appreciate the quick response.,positive,14,0,14,your support team resolved my issue quickly thank you i appreciate the quick response
TKT00014,phone,I am satisfied with the plan and would recommend it to others. My ticket number is 57739. I appreciate the quick response.,positive,22,0,22,i am satisfied with the plan and would recommend it to others my ticket number is  i appreciate the quick response
TKT00015,chat,I have raised multiple tickets but nobody has fixed the problem. Please respond as soon as possible.,negative,17,1,17,i have raised multiple tickets but nobody has fixed the problem please respond as soon as possible
TKT00016,email,I am satisfied with the plan and would recommend it to others.,positive,12,0,12,i am satisfied with the plan and would recommend it to others
TKT00017,email,Billing is incorrect and I was charged twice this month. My ticket number is 91365.,negative,15,0,15,billing is incorrect and i was charged twice this month my ticket number is 
TKT00018,email,The subscription keeps failing and support has not resolved my issue.,negative,11,0,11,the subscription keeps failing and support has not resolved my issue
TKT00019,app,Can someone explain the difference between the plans? Please respond as soon as possible.,neutral,14,1,14,can someone explain the difference between the plans please respond as soon as possible
TKT00020,chat,The app crashes whenever I try to use video call.,negative,10,1,10,the app crashes whenever i try to use video call
TKT00021,social,I am satisfied with the plan and would recommend it to others.,positive,12,0,12,i am satisfied with the plan and would recommend it to others
TKT00022,phone,I am checking if there is any scheduled maintenance today. Please respond as soon as possible.,neutral,16,1,16,i am checking if there is any scheduled maintenance today please respond as soon as possible
TKT00023,social,Can you confirm whether my ticket has been assigned?,neutral,9,0,9,can you confirm whether my ticket has been assigned
TKT00024,app,My refund is still pending and this experience is frustrating.,negative,10,0,10,my refund is still pending and this experience is frustrating
TKT00025,chat,The mobile app is working well and I am happy with the service. My ticket number is 50218.,positive,18,0,18,the mobile app is working well and i am happy with the service my ticket number is 
TKT00026,email,I need information about the payment process.,neutral,7,0,7,i need information about the payment process
TKT00027,social,I am satisfied with the plan and would recommend it to others.,positive,12,0,12,i am satisfied with the plan and would recommend it to others
TKT00028,social,Billing is incorrect and I was charged twice this month. My ticket number is 78132.,negative,15,1,15,billing is incorrect and i was charged twice this month my ticket number is 
TKT00029,app,I am checking if there is any scheduled maintenance today.,neutral,10,0,10,i am checking if there is any scheduled maintenance today
TKT00030,chat,The response from the team was helpful and professional. My ticket number is 77543.,positive,14,0,14,the response from the team was helpful and professional my ticket number is 
TKT00031,email,The response from the team was helpful and professional. My ticket number is 32658.,positive,14,0,14,the response from the team was helpful and professional my ticket number is 
TKT00032,email,I like the new tracking and it is easy to use.,positive,11,0,11,i like the new tracking and it is easy to use
TKT00033,social,I need help finding the invoice for my last order.,neutral,10,0,10,i need help finding the invoice for my last order
TKT00034,chat,I have raised multiple tickets but nobody has fixed the problem.,negative,11,1,11,i have raised multiple tickets but nobody has fixed the problem
TKT00035,app,The refund process was fast and convenient.,positive,7,0,7,the refund process was fast and convenient
TKT00036,email,Can you confirm whether my ticket has been assigned? My ticket number is 30284.,neutral,14,0,14,can you confirm whether my ticket has been assigned my ticket number is 
TKT00037,app,The product quality is bad and I regret purchasing it.,negative,10,0,10,the product quality is bad and i regret purchasing it
TKT00038,chat,I want to cancel because the service quality is poor and unreliable. My ticket number is 69921.,negative,17,1,17,i want to cancel because the service quality is poor and unreliable my ticket number is 
TKT00039,social,The installation was completed on time and everything works perfectly. My ticket number is 30341.,positive,15,0,15,the installation was completed on time and everything works perfectly my ticket number is 
TKT00040,social,I like the new tracking and it is easy to use.,positive,11,0,11,i like the new tracking and it is easy to use
TKT00041,chat,I have raised multiple tickets but nobody has fixed the problem.,negative,11,1,11,i have raised multiple tickets but nobody has fixed the problem
TKT00042,email,Great service and clear communication from the support team.,positive,9,0,9,great service and clear communication from the support team
TKT00043,email,I am checking if there is any scheduled maintenance today.,neutral,10,0,10,i am checking if there is any scheduled maintenance today
TKT00044,app,Can you confirm whether my ticket has been assigned? Please respond as soon as possible.,neutral,15,1,15,can you confirm whether my ticket has been assigned please respond as soon as possible
TKT00045,chat,I need help finding the invoice for my last order.,neutral,10,0,10,i need help finding the invoice for my last order
TKT00046,social,The delivery was late and the package arrived damaged. My ticket number is 52844. Please respond as soon as possible.,negative,20,1,20,the delivery was late and the package arrived damaged my ticket number is  please respond as soon as possible
TKT00047,email,Great service and clear communication from the support team. My ticket number is 98502.,positive,14,0,14,great service and clear communication from the support team my ticket number is 
TKT00048,social,The app crashes whenever I try to use login. My ticket number is 14935.,negative,14,1,14,the app crashes whenever i try to use login my ticket number is 
TKT00049,phone,I am checking if there is any scheduled maintenance today.,neutral,10,0,10,i am checking if there is any scheduled maintenance today
TKT00050,email,I want to understand the warranty terms for this product. Please respond as soon as possible.,neutral,16,1,16,i want to understand the warranty terms for this product please respond as soon as possible
TKT00051,social,I have raised multiple tickets but nobody has fixed the problem.,negative,11,0,11,i have raised multiple tickets but nobody has fixed the problem
TKT00052,email,The internet speed is slow and customer care is not helping.,negative,11,0,11,the internet speed is slow and customer care is not helping
TKT00053,social,I want to cancel because the service quality is poor and unreliable. My ticket number is 36062.,negative,17,0,17,i want to cancel because the service quality is poor and unreliable my ticket number is 
TKT00054,social,The product quality is bad and I regret purchasing it.,negative,10,1,10,the product quality is bad and i regret purchasing it
TKT00055,email,I need help finding the invoice for my last order. My ticket number is 29782.,neutral,15,0,15,i need help finding the invoice for my last order my ticket number is 
TKT00056,email,The service plan keeps failing and support has not resolved my issue. Please respond as soon as possible.,negative,18,1,18,the service plan keeps failing and support has not resolved my issue please respond as soon as possible
TKT00057,chat,I would like to know more about the available plans. Please respond as soon as possible.,neutral,16,1,16,i would like to know more about the available plans please respond as soon as possible
TKT00058,app,The product quality is bad and I regret purchasing it.,negative,10,0,10,the product quality is bad and i regret purchasing it
TKT00059,phone,I like the new login and it is easy to use.,positive,11,0,11,i like the new login and it is easy to use
TKT00060,phone,I am very unhappy because my mobile app has not worked since three days ago. Please respond as soon as possible.,negative,21,1,21,i am very unhappy because my mobile app has not worked since three days ago please respond as soon as possible
TKT00061,phone,The account keeps failing and support has not resolved my issue.,negative,11,1,11,the account keeps failing and support has not resolved my issue
TKT00062,email,The installation was completed on time and everything works perfectly.,positive,10,0,10,the installation was completed on time and everything works perfectly
TKT00063,email,The installation was completed on time and everything works perfectly.,positive,10,0,10,the installation was completed on time and everything works perfectly
TKT00064,email,The insurance policy is working well and I am happy with the service.,positive,13,0,13,the insurance policy is working well and i am happy with the service
TKT00065,social,I like the new payment and it is easy to use. My ticket number is 65556.,positive,16,0,16,i like the new payment and it is easy to use my ticket number is 
TKT00066,chat,The app crashes whenever I try to use analytics. My ticket number is 13544.,negative,14,1,14,the app crashes whenever i try to use analytics my ticket number is 
TKT00067,chat,The internet speed is slow and customer care is not helping. Please respond as soon as possible.,negative,17,1,17,the internet speed is slow and customer care is not helping please respond as soon as possible
TKT00068,email,Can you confirm whether my ticket has been assigned?,neutral,9,0,9,can you confirm whether my ticket has been assigned
TKT00069,email,I need help finding the invoice for my last order. My ticket number is 46883.,neutral,15,0,15,i need help finding the invoice for my last order my ticket number is 
TKT00070,email,I have raised multiple tickets but nobody has fixed the problem.,negative,11,1,11,i have raised multiple tickets but nobody has fixed the problem
TKT00071,app,The product quality is bad and I regret purchasing it.,negative,10,0,10,the product quality is bad and i regret purchasing it
TKT00072,phone,The response from the team was helpful and professional.,positive,9,0,9,the response from the team was helpful and professional
TKT00073,phone,Please provide the steps to activate video call. Please respond as soon as possible.,neutral,14,1,14,please provide the steps to activate video call please respond as soon as possible
TKT00074,social,Can you share the status of my router request? My ticket number is 25533.,neutral,14,0,14,can you share the status of my router request my ticket number is 
TKT00075,email,The delivery was late and the package arrived damaged. My ticket number is 68894.,negative,14,0,14,the delivery was late and the package arrived damaged my ticket number is 
TKT00076,email,Please provide the steps to activate login. My ticket number is 97843.,neutral,12,0,12,please provide the steps to activate login my ticket number is 
TKT00077,email,I am very unhappy because my router has not worked since yesterday. Please respond as soon as possible.,negative,18,1,18,i am very unhappy because my router has not worked since yesterday please respond as soon as possible
TKT00078,email,I would like to know more about the available plans.,neutral,10,0,10,i would like to know more about the available plans
TKT00079,chat,The response from the team was helpful and professional. My ticket number is 62509. I appreciate the quick response.,positive,19,0,19,the response from the team was helpful and professional my ticket number is  i appreciate the quick response
TKT00080,app,The product quality is bad and I regret purchasing it.,negative,10,1,10,the product quality is bad and i regret purchasing it
TKT00081,chat,The installation was completed on time and everything works perfectly. My ticket number is 83565. I appreciate the quick response.,positive,20,0,20,the installation was completed on time and everything works perfectly my ticket number is  i appreciate the quick response
TKT00082,app,I like the new tracking and it is easy to use.,positive,11,0,11,i like the new tracking and it is easy to use
TKT00083,app,Please tell me how to update my account details. My ticket number is 41529.,neutral,14,0,14,please tell me how to update my account details my ticket number is 
TKT00084,social,I am very unhappy because my account has not worked since this morning.,negative,13,1,13,i am very unhappy because my account has not worked since this morning
TKT00085,phone,The router keeps failing and support has not resolved my issue.,negative,11,1,11,the router keeps failing and support has not resolved my issue
TKT00086,phone,I have raised multiple tickets but nobody has fixed the problem.,negative,11,0,11,i have raised multiple tickets but nobody has fixed the problem
TKT00087,social,I want to understand the warranty terms for this product. Please respond as soon as possible.,neutral,16,1,16,i want to understand the warranty terms for this product please respond as soon as possible
TKT00088,app,Can you share the status of my account request?,neutral,9,0,9,can you share the status of my account request
TKT00089,app,I would like to know more about the available plans. Please respond as soon as possible.,neutral,16,1,16,i would like to know more about the available plans please respond as soon as possible
TKT00090,chat,Can someone explain the difference between the plans?,neutral,8,0,8,can someone explain the difference between the plans
TKT00091,phone,I have raised multiple tickets but nobody has fixed the problem.,negative,11,0,11,i have raised multiple tickets but nobody has fixed the problem
TKT00092,phone,I need information about the payment process. Please respond as soon as possible.,neutral,13,1,13,i need information about the payment process please respond as soon as possible
TKT00093,social,Billing is incorrect and I was charged twice this month.,negative,10,0,10,billing is incorrect and i was charged twice this month
TKT00094,email,Your support team resolved my issue quickly. Thank you.,positive,9,0,9,your support team resolved my issue quickly thank you
TKT00095,social,Can you confirm whether my ticket has been assigned?,neutral,9,0,9,can you confirm whether my ticket has been assigned
TKT00096,social,I need help finding the invoice for my last order. My ticket number is 68255.,neutral,15,0,15,i need help finding the invoice for my last order my ticket number is 
TKT00097,phone,I need help finding the invoice for my last order.,neutral,10,0,10,i need help finding the invoice for my last order
TKT00098,chat,I want to cancel because the service quality is poor and unreliable.,negative,12,0,12,i want to cancel because the service quality is poor and unreliable
